level_0,index,ISO Code,dt,CO2,population,delta,AverageTemperature,footprint
4808,4808,ITA,1962,2.8784963870482088,50879450.0,-1.05458,12.658,129216035.10341999
4809,4809,ITA,1963,3.2151001326777493,51252000.0,-1.108,12.60458333333333,146944448.175993
4810,4810,ITA,1964,3.4050534345679324,51675350.0,-0.72125,12.991333333333333,147144701.91713402
4811,4811,ITA,1965,3.6415024461571965,52112350.0,-1.257,12.455583333333333,154023400.89407
4812,4812,ITA,1966,4.079440621489366,52519000.0,-0.672,13.040583333333334,168550840.423053
4813,4813,ITA,1967,4.431482556875644,52900500.0,-0.57533,13.137250000000002,184089978.924946
4814,4814,ITA,1968,4.686612774310496,53235750.0,-0.86733,12.845250000000002,188685827.104647
4815,4815,ITA,1969,5.0433112212925595,53537950.0,-1.083,12.629583333333334,206219193.498164
4816,4816,ITA,1970,5.513392311858474,53821850.0,-0.872,12.840583333333335,223554475.013708
4817,4817,ITA,1971,5.762318226546872,54073490.0,-0.92367,12.788916666666667,224526015.221298
4818,4818,ITA,1972,6.049321453891955,54381345.0,-0.99575,12.716833333333332,238632214.10315698
4819,4819,ITA,1973,6.471435783767817,54751406.0,-0.91408,12.798500000000002,253561818.401614
4820,4820,ITA,1974,6.521514721923813,55110868.0,-0.905,12.807583333333335,241545068.688281
4821,4821,ITA,1975,6.174325441923388,55441001.0,-0.77542,12.937166666666668,227950633.014135
4822,4822,ITA,1976,6.592316217340599,55718260.0,-1.20942,12.503166666666665,247466319.84924302
4823,4823,ITA,1977,6.365348831054069,55955411.0,-0.67383,13.03875,247991930.04513702
4824,4824,ITA,1978,6.64648995729563,56155143.0,-1.33892,12.373666666666667,255679666.566923
4825,4825,ITA,1979,6.880001915559516,56317749.0,-0.81442,12.898166666666668,275559651.297327
4826,4826,ITA,1980,6.89248498105296,56433883.0,-1.473,12.239583333333336,276912325.499331
4827,4827,ITA,1981,6.690421637942591,56501675.0,-0.93583,12.77675,258966335.001012
4828,4828,ITA,1982,6.537992115386888,56543548.0,-0.27267,13.439916666666667,253414671.33272
4829,4829,ITA,1983,6.3885871268749135,56564074.0,-0.52425,13.188333333333333,254916417.37313
4830,4830,ITA,1984,6.498251683669597,56576718.0,-1.22625,12.486333333333327,262329805.388048
4831,4831,ITA,1985,6.575619372201944,56593071.0,-0.65425,13.058333333333332,266659966.320143
4832,4832,ITA,1986,6.474897649849181,56596155.0,-0.57975,13.132833333333336,271636436.408608
4833,4833,ITA,1987,6.778406128935778,56601931.0,-0.53608,13.1765,285029241.61925095
4834,4834,ITA,1988,6.883012514654961,56629288.0,-0.20492,13.507666666666665,281311604.408979
4835,4835,ITA,1989,7.215357675101123,56671781.0,-0.38342,13.329166666666666,294610772.04577404
4836,4836,ITA,1990,7.361704582078321,56719240.0,0.00433,13.716916666666664,298258782.099695
4837,4837,ITA,1991,7.4683799283635315,56758521.0,-0.85908,12.853500000000002,311500597.913092
4838,4838,ITA,1992,7.404168932114424,56797087.0,-0.13083,13.58175,304034796.337878
4839,4839,ITA,1993,7.248012992580336,56831821.0,-0.30292,13.409666666666665,286929291.171663
4840,4840,ITA,1994,7.16667248968218,56843400.0,0.57225,14.284833333333333,298234076.927158
4841,4841,ITA,1995,7.573033273008907,56844303.0,-0.4785,13.234083333333333,302175448.77168703
4842,4842,ITA,1996,7.489065609788316,56860281.0,-0.70558,13.006999999999998,291465301.768718
4843,4843,ITA,1997,7.566965197555749,56890372.0,0.12625,13.838833333333332,304298029.22451204
